Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	29281e32-4217-4825-961c-d8761e9a57d0	721	721	385	Geometry	5183.7	1109.3	721	0	385	0	0	0	NaN	0	542035.2	9432.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c36597cb-367f-4afc-ba53-8fd39c9e2425	778	778	385	Geometry	5187	1245.5	778	0	385	0	0	0	NaN	0	872812	9310.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	f585fce7-7ed0-47d8-b160-33baafbc5eb2	305	305	385	Geometry	5247.4	1702.6	305	0	385	0	0	0	NaN	0	92683.7	5563.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	7843bcd8-ea69-4a66-a619-b6edf5571c20	821	821	385	Geometry	5203.2	909.78	821	0	385	0	0	0	NaN	0	1021277.6	10154.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	89d77e74-8dcf-4a87-b2a3-f49496ac4db5	409	409	669	Geometry	4989.4	1857	409	0	669	0	0	0	NaN	0	1004431.2	6019.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	4957492d-babe-4d01-970e-d8bbe5c909e5	573	573	409	Geometry	5034.6	1789.3	573	0	409	0	0	0	NaN	0	142382.6	2804.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	4729fa1e-3ee6-464e-8556-812a33316d8f	74	74	409	Geometry	4698.8	2121.7	74	0	409	0	0	0	NaN	0	203304.8	2839.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	6fa7f91c-2089-49a2-ac13-868bc7ae3fd9	613	613	409	Geometry	5019.8	1946.1	613	0	409	0	0	0	NaN	0	267349.9	3232
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	d54c782e-179e-4674-bcfb-a1109600a556	121	121	409	Geometry	4961.8	2217.1	121	0	409	0	0	0	NaN	0	34638.5	2122.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	ea92049b-f594-4c56-ba9a-db6ba6db734f	421	421	409	Geometry	5172.6	1555.9	421	0	409	0	0	0	NaN	0	128830.2	2862.1
